IP地址,端口,TLS,国家,TCP延迟(ms),速度(MB/s)
8.218.127.249,2096,TRUE,HK,40,11
162.159.133.222,8443,TRUE,HK,76.02,10.89
104.26.9.130,443,TRUE,HK,72.68,10.64
104.26.14.57,2053,TRUE,HK,71.76,10.42
47.243.162.49,2096,TRUE,HK,51,10.4
8.218.22.210,2087,TRUE,HK,43,10.25
8.218.143.10,2096,TRUE,HK,43,7.7
8.218.204.128,2096,TRUE,HK,40,5.9
172.64.111.115,443,TRUE,FR,187.15,6.49
104.24.13.222,443,TRUE,FR,223.23,5.34
172.64.202.219,2053,TRUE,ES,186.64,26.27
172.64.134.110,2053,TRUE,ES,198.23,26.13
172.64.135.211,2053,TRUE,ES,189.15,24.83
172.64.139.110,2053,TRUE,ES,187.68,24.06
172.64.104.94,2053,TRUE,ES,210.71,22.96
172.64.205.244,2053,TRUE,ES,208.8,22.74
172.64.195.143,2053,TRUE,ES,209.29,22.39
172.64.108.22,2053,TRUE,ES,192.79,21.83
172.64.96.41,2053,TRUE,ES,208.96,21.64
172.64.163.226,2053,TRUE,ES,199.6,21.53
172.64.102.168,2053,TRUE,ES,208.35,20.85
172.64.137.100,2053,TRUE,ES,184.99,20.33
172.64.200.253,2053,TRUE,ES,200.95,20.27
172.64.203.26,2053,TRUE,ES,190.19,20.15
172.64.206.220,2053,TRUE,ES,182.8,19.86
172.64.108.252,443,TRUE,ES,194.43,18.24
172.64.109.192,2053,TRUE,ES,181.37,17.11
172.64.132.161,2053,TRUE,ES,205.93,16.95
172.64.168.30,2053,TRUE,ES,205.96,16.52
172.64.143.135,2053,TRUE,ES,179.61,15.62
172.64.128.181,2053,TRUE,ES,193.68,15.48
172.64.142.198,2053,TRUE,ES,185.44,13.8
172.64.110.115,443,TRUE,ES,188.77,13.36
172.64.140.53,2053,TRUE,ES,212.35,13.31
172.64.99.180,2053,TRUE,ES,207.69,13.01
172.64.111.215,2053,TRUE,ES,195.62,12.96
172.64.192.253,2053,TRUE,ES,188.88,12.13
172.64.204.173,2053,TRUE,ES,190.73,12
172.64.193.114,2053,TRUE,ES,204.4,11.29
172.64.141.62,2053,TRUE,ES,194.85,10.87
172.64.100.245,2053,TRUE,ES,196.33,10.71
172.64.198.150,2053,TRUE,ES,197.83,9.95
172.64.130.228,2053,TRUE,ES,183.85,9.76
172.64.97.54,2053,TRUE,ES,182.5,9.51
172.64.175.208,2053,TRUE,ES,193.08,9.39
172.64.105.176,443,TRUE,ES,183.92,8.96
172.64.201.228,2053,TRUE,ES,194.26,8.08
172.64.171.76,2053,TRUE,ES,202.81,8.05
172.64.172.19,2053,TRUE,ES,207.49,7.2
172.64.161.64,2053,TRUE,ES,189.09,7.09
172.64.162.92,2053,TRUE,ES,201.8,6.9
172.64.194.41,2053,TRUE,ES,196.69,6.46
172.64.199.142,2053,TRUE,ES,181.96,5.96
172.64.197.193,2053,TRUE,ES,192.01,5.87
172.64.170.132,2053,TRUE,ES,209.41,5.44
172.64.160.120,2053,TRUE,ES,197.46,5.11
172.64.207.33,2053,TRUE,ES,184.19,4.92
172.64.164.76,2053,TRUE,ES,202.94,4.66
172.64.105.147,2053,TRUE,ES,210.97,4.47
172.64.101.189,2053,TRUE,ES,206.54,3.99
172.64.106.51,2053,TRUE,ES,181.96,3.88
172.64.138.73,2053,TRUE,ES,202.16,3.06
193.9.49.33,443,TRUE,DE,218.69,6.89
172.64.106.98,443,TRUE,DE,189.52,6.56
162.159.141.115,8443,TRUE,DE,77.06,6.22
104.26.0.104,443,TRUE,DE,76.53,6.17
104.26.12.223,8443,TRUE,DE,76.68,5.28
162.159.58.210,8443,TRUE,DE,56.73,5.12
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
